Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,7
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,19
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,38
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,25
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,11
E05011113,Rye Lane,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,38
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,106
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,12
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,32
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",59
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,16
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,36
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,17
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,13
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,26
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,11
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,8
E05011113,Rye Lane,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,23
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,793
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,406
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,1074
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1651
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,358
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,467
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,108
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,275
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,260
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,213
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,46
E05011113,Rye Lane,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,237
E05011113,Rye Lane,14,White: Irish,-8,Does not apply,20
E05011113,Rye Lane,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,20
E05011113,Rye Lane,14,White: Irish,2,L3: Higher professional occupations,54
E05011113,Rye Lane,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",70
E05011113,Rye Lane,14,White: Irish,4,L7: Intermediate occupations,17
E05011113,Rye Lane,14,White: Irish,5,L8 and L9: Small employers and own account workers,21
E05011113,Rye Lane,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,5
E05011113,Rye Lane,14,White: Irish,7,L12: Semi-routine occupations,10
E05011113,Rye Lane,14,White: Irish,8,L13: Routine occupations,33
E05011113,Rye Lane,14,White: Irish,9,L14.1: Never worked,23
E05011113,Rye Lane,14,White: Irish,10,L14.2: Long-term unemployed,4
E05011113,Rye Lane,14,White: Irish,11,L15: Full-time students,7
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,0
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,3
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,1
E05011113,Rye Lane,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,0
E05011113,Rye Lane,16,White: Roma,-8,Does not apply,3
