Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013573,Ickenham & South Harefield,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,0
E05013573,Ickenham & South Harefield,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,0
E05013573,Ickenham & South Harefield,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,7
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,126
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,19
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",29
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,14
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,6
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,1
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,6
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,3
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,1
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,3
E05013573,Ickenham & South Harefield,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,21
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,17
E05013573,Ickenham & South Harefield,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
