Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013967,Beam Park,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L15: Full-time students,16
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,37
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",6
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",17
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",3,L7: Intermediate occupations,9
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L8 and L9: Small employers and own account workers,7
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L10 and L11: Lower supervisory and technical occupations,2
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L12: Semi-routine occupations,9
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L13: Routine occupations,9
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L14.1 and L14.2: Never worked and long-term unemployed,7
E05013967,Beam Park,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L15: Full-time students,6
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,153
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",59
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",136
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,L7: Intermediate occupations,32
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L8 and L9: Small employers and own account workers,35
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L10 and L11: Lower supervisory and technical occupations,19
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L12: Semi-routine occupations,52
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L13: Routine occupations,23
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L14.1 and L14.2: Never worked and long-term unemployed,33
E05013967,Beam Park,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L15: Full-time students,75
