CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : White - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Asian/Asian British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons;"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Unit : Persons";"Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Unit : Persons";Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Unit : Persons;Age : Age 16 and over - Ethnic group [E][S][W] : Black/African/Caribbean/Black British - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Unit : Persons
CDU_ID;GEO_CODE;GEO_LABEL;GEO_TYPE;GEO_TYP2;w_1;w_2;w_3;w_4;w_5;w_6;w_7;a_1;a_2;a_3;a_4;a_5;a_6;a_7;b_1;b_2;b_3;b_4;b_5;b_6;b_7
19791;E01000538;Brent 004B;Lower Super Output Areas and Data Zones;LSOADZ;69;111;89;99;11;33;16;157;159;96;77;13;45;24;8;6;7;2;0;2;2
19792;E01000539;Brent 004C;Lower Super Output Areas and Data Zones;LSOADZ;70;116;89;92;15;52;25;149;142;105;72;19;59;29;4;12;5;2;3;9;3
19793;E01000540;Brent 004D;Lower Super Output Areas and Data Zones;LSOADZ;71;108;58;72;14;29;12;178;147;104;68;17;59;18;4;11;7;8;3;1;1
19794;E01000541;Brent 004E;Lower Super Output Areas and Data Zones;LSOADZ;36;58;45;88;21;34;26;116;121;100;54;42;97;32;12;11;13;4;5;8;2
19795;E01000543;Brent 003E;Lower Super Output Areas and Data Zones;LSOADZ;25;53;38;73;14;41;23;115;162;110;62;40;72;55;5;15;10;5;6;11;5
19796;E01000544;Brent 034A;Lower Super Output Areas and Data Zones;LSOADZ;50;132;46;62;23;53;58;16;20;6;12;12;27;20;20;73;41;35;18;92;60
19797;E01000545;Brent 028A;Lower Super Output Areas and Data Zones;LSOADZ;171;332;95;97;61;89;93;29;34;17;17;14;27;17;14;21;21;4;5;27;11
19798;E01000546;Brent 028B;Lower Super Output Areas and Data Zones;LSOADZ;172;315;91;88;48;80;66;23;31;16;22;8;25;19;7;26;5;12;7;13;20
19799;E01000547;Brent 028C;Lower Super Output Areas and Data Zones;LSOADZ;156;269;85;101;52;73;94;23;35;13;10;9;18;22;15;36;20;6;14;27;28
19800;E01000548;Brent 028D;Lower Super Output Areas and Data Zones;LSOADZ;193;359;106;131;52;85;112;31;25;16;17;7;28;13;16;40;19;16;15;38;32
19801;E01000549;Brent 028E;Lower Super Output Areas and Data Zones;LSOADZ;264;404;96;132;52;62;45;20;46;11;11;8;20;14;15;30;18;7;13;27;19
19802;E01000550;Brent 034B;Lower Super Output Areas and Data Zones;LSOADZ;106;214;94;73;37;93;93;21;41;9;16;11;33;24;21;71;42;15;29;77;47
19803;E01000551;Brent 034C;Lower Super Output Areas and Data Zones;LSOADZ;31;109;51;49;29;63;80;13;30;14;10;11;32;17;33;85;76;37;34;111;72
19804;E01000552;Brent 034D;Lower Super Output Areas and Data Zones;LSOADZ;17;45;34;34;27;57;55;8;15;9;9;17;18;18;18;89;76;39;44;127;62
19805;E01000553;Brent 015A;Lower Super Output Areas and Data Zones;LSOADZ;67;173;93;152;56;93;137;34;49;37;41;22;60;50;9;34;15;15;7;26;22
19806;E01000554;Brent 015B;Lower Super Output Areas and Data Zones;LSOADZ;87;204;72;164;61;97;90;22;23;26;15;12;39;29;12;31;31;11;8;27;8
19807;E01000555;Brent 015C;Lower Super Output Areas and Data Zones;LSOADZ;100;194;81;106;31;58;33;26;39;24;34;9;28;18;12;18;13;12;4;7;6
19808;E01000556;Brent 015D;Lower Super Output Areas and Data Zones;LSOADZ;72;178;89;123;58;81;74;10;54;23;41;19;43;54;7;34;30;7;12;33;17
19809;E01000557;Brent 015E;Lower Super Output Areas and Data Zones;LSOADZ;122;234;93;115;52;102;66;37;59;23;24;29;61;41;6;19;18;15;6;18;19
19810;E01000558;Brent 015F;Lower Super Output Areas and Data Zones;LSOADZ;157;280;86;99;27;62;52;22;29;9;8;10;12;9;8;28;8;7;8;16;15
19811;E01000559;Brent 018E;Lower Super Output Areas and Data Zones;LSOADZ;91;265;96;86;32;60;51;23;39;25;20;5;18;7;12;36;24;14;7;20;15
19812;E01000560;Brent 023D;Lower Super Output Areas and Data Zones;LSOADZ;218;351;100;98;29;49;62;23;25;19;12;1;17;7;7;17;12;6;7;10;4
19813;E01000561;Brent 023E;Lower Super Output Areas and Data Zones;LSOADZ;190;264;92;76;47;69;69;26;37;22;20;1;25;19;19;40;21;15;13;46;20
19814;E01000562;Brent 008A;Lower Super Output Areas and Data Zones;LSOADZ;53;83;51;60;11;19;15;174;150;104;108;16;60;23;4;23;6;9;0;14;5
19815;E01000563;Brent 008B;Lower Super Output Areas and Data Zones;LSOADZ;43;73;59;74;15;38;31;138;146;95;96;28;52;22;5;21;9;9;4;8;8
19816;E01000564;Brent 013A;Lower Super Output Areas and Data Zones;LSOADZ;20;43;46;138;21;32;40;73;90;77;56;32;75;40;17;24;17;10;5;15;7
19817;E01000565;Brent 013B;Lower Super Output Areas and Data Zones;LSOADZ;24;68;42;49;20;46;42;82;112;74;66;20;65;31;15;41;17;9;13;28;15
19818;E01000566;Brent 008C;Lower Super Output Areas and Data Zones;LSOADZ;37;96;62;82;25;49;26;104;115;95;51;18;73;39;6;24;16;7;4;14;6
19819;E01000567;Brent 016A;Lower Super Output Areas and Data Zones;LSOADZ;42;101;57;75;21;41;44;69;88;57;47;26;59;20;10;25;18;6;8;17;8
19820;E01000568;Brent 008D;Lower Super Output Areas and Data Zones;LSOADZ;64;139;56;43;23;36;33;114;385;93;39;19;47;21;11;56;13;6;8;12;5
19821;E01000569;Brent 008E;Lower Super Output Areas and Data Zones;LSOADZ;39;88;58;81;20;37;29;126;157;113;66;20;52;22;11;28;21;13;5;9;4
19822;E01000570;Brent 012A;Lower Super Output Areas and Data Zones;LSOADZ;26;49;24;75;25;44;41;51;85;80;48;29;111;61;11;32;34;11;10;32;25
19823;E01000571;Brent 012B;Lower Super Output Areas and Data Zones;LSOADZ;33;80;49;93;19;50;36;83;105;85;86;28;59;43;9;31;15;18;7;19;4
19824;E01000572;Brent 007A;Lower Super Output Areas and Data Zones;LSOADZ;31;99;55;75;19;44;33;103;120;87;62;18;63;25;9;23;13;5;6;12;12
19825;E01000573;Brent 007B;Lower Super Output Areas and Data Zones;LSOADZ;23;77;56;134;15;47;42;86;137;79;47;26;67;34;4;18;10;5;3;9;8
19826;E01000574;Brent 007C;Lower Super Output Areas and Data Zones;LSOADZ;31;71;66;116;16;38;35;79;105;75;43;21;41;25;12;18;12;5;6;8;6
19827;E01000575;Brent 007D;Lower Super Output Areas and Data Zones;LSOADZ;24;104;55;155;37;40;46;142;133;93;68;24;70;26;4;33;19;8;6;16;3
19828;E01000576;Brent 012C;Lower Super Output Areas and Data Zones;LSOADZ;37;95;51;79;21;37;33;90;130;94;82;25;89;33;10;13;11;6;5;14;9
19829;E01000577;Brent 007E;Lower Super Output Areas and Data Zones;LSOADZ;21;68;42;93;42;49;54;87;117;81;35;29;98;51;19;66;47;16;17;64;41
19830;E01000578;Brent 012D;Lower Super Output Areas and Data Zones;LSOADZ;68;136;92;112;38;64;78;82;88;61;64;29;57;29;15;28;26;12;4;16;18
19831;E01000579;Brent 032A;Lower Super Output Areas and Data Zones;LSOADZ;120;279;74;103;35;80;77;12;28;19;15;7;18;21;10;46;31;9;26;48;42
19832;E01000580;Brent 032B;Lower Super Output Areas and Data Zones;LSOADZ;252;418;109;158;53;66;64;25;26;19;7;4;10;8;2;14;16;10;8;32;16
19833;E01000581;Brent 030E;Lower Super Output Areas and Data Zones;LSOADZ;133;324;77;86;44;50;41;12;24;10;5;11;15;11;8;45;23;11;11;28;18
19834;E01000582;Brent 032C;Lower Super Output Areas and Data Zones;LSOADZ;208;403;93;131;40;65;76;21;28;12;15;0;11;5;10;21;18;16;6;18;8
19835;E01000583;Brent 032D;Lower Super Output Areas and Data Zones;LSOADZ;276;431;113;143;47;93;77;27;53;21;15;9;24;22;7;42;21;13;14;25;20
19836;E01000584;Brent 033E;Lower Super Output Areas and Data Zones;LSOADZ;98;233;76;84;31;61;75;31;73;34;34;19;35;46;10;36;18;13;12;26;23
19837;E01000585;Brent 033F;Lower Super Output Areas and Data Zones;LSOADZ;135;304;78;114;35;51;69;19;39;18;26;15;27;25;12;51;32;22;14;35;30
19838;E01000586;Brent 032E;Lower Super Output Areas and Data Zones;LSOADZ;221;395;129;131;60;75;85;20;45;16;31;21;46;38;18;61;35;19;17;32;25
19839;E01000587;Brent 001A;Lower Super Output Areas and Data Zones;LSOADZ;9;46;53;142;25;41;31;106;129;110;99;29;102;58;2;6;11;4;4;11;8
19840;E01000588;Brent 002E;Lower Super Output Areas and Data Zones;LSOADZ;16;69;45;131;32;44;69;67;122;107;63;38;80;54;20;54;29;19;19;36;16
19841;E01000589;Brent 001B;Lower Super Output Areas and Data Zones;LSOADZ;20;57;43;77;22;39;41;111;184;147;93;43;131;117;8;28;15;5;5;18;7
19842;E01000590;Brent 001C;Lower Super Output Areas and Data Zones;LSOADZ;46;145;67;132;30;71;47;80;115;94;74;24;83;67;5;21;14;4;11;19;4
19843;E01000591;Brent 003F;Lower Super Output Areas and Data Zones;LSOADZ;21;59;39;79;31;47;44;97;152;148;98;49;151;85;7;19;13;8;3;9;7
19844;E01000592;Brent 001D;Lower Super Output Areas and Data Zones;LSOADZ;27;79;50;113;23;52;57;73;112;92;79;29;84;48;9;33;15;4;6;22;7
19845;E01000593;Brent 001E;Lower Super Output Areas and Data Zones;LSOADZ;20;87;63;101;37;59;47;104;155;120;91;33;84;65;20;41;31;12;14;37;13
19846;E01000594;Brent 001F;Lower Super Output Areas and Data Zones;LSOADZ;18;43;53;111;13;41;30;100;145;111;96;48;105;62;8;13;11;8;2;8;12
19847;E01000595;Brent 027A;Lower Super Output Areas and Data Zones;LSOADZ;11;51;34;59;22;52;49;14;17;15;16;14;24;24;12;65;50;25;36;76;44
19848;E01000596;Brent 021A;Lower Super Output Areas and Data Zones;LSOADZ;12;37;35;41;24;46;74;4;17;17;11;12;36;17;9;58;62;30;24;85;60
19849;E01000599;Brent 027D;Lower Super Output Areas and Data Zones;LSOADZ;15;34;30;21;17;38;34;7;16;15;6;5;19;4;16;101;66;35;40;74;64
19850;E01000600;Brent 027E;Lower Super Output Areas and Data Zones;LSOADZ;32;70;31;49;30;63;60;23;39;24;11;7;32;19;21;82;83;35;48;106;91
19851;E01000601;Brent 021B;Lower Super Output Areas and Data Zones;LSOADZ;14;28;35;48;24;44;36;8;16;8;9;6;25;18;16;62;41;30;29;73;39
19852;E01000602;Brent 021C;Lower Super Output Areas and Data Zones;LSOADZ;6;25;28;38;16;48;47;13;28;23;28;13;43;40;11;68;59;22;23;84;63
19853;E01000603;Brent 021D;Lower Super Output Areas and Data Zones;LSOADZ;21;43;39;42;41;49;53;10;25;26;14;11;44;23;14;65;53;18;24;67;47
19854;E01000604;Brent 021E;Lower Super Output Areas and Data Zones;LSOADZ;12;26;39;31;25;55;50;7;26;16;18;12;40;28;27;73;58;16;27;93;58
19855;E01000605;Brent 021F;Lower Super Output Areas and Data Zones;LSOADZ;8;34;37;38;37;59;83;9;19;25;22;12;49;38;11;61;54;24;16;71;48
19856;E01000606;Brent 016B;Lower Super Output Areas and Data Zones;LSOADZ;14;61;39;92;31;51;47;51;95;81;53;36;111;74;16;32;28;16;12;33;20
19857;E01000607;Brent 013C;Lower Super Output Areas and Data Zones;LSOADZ;38;72;44;78;28;37;52;72;142;125;73;49;192;91;19;39;22;8;10;25;13
19858;E01000608;Brent 013D;Lower Super Output Areas and Data Zones;LSOADZ;26;70;52;71;30;53;52;73;148;93;65;36;192;83;17;45;28;16;8;44;18
19859;E01000609;Brent 016C;Lower Super Output Areas and Data Zones;LSOADZ;21;85;58;72;36;62;59;53;133;86;65;49;128;82;14;44;29;11;22;28;23
19860;E01000610;Brent 019A;Lower Super Output Areas and Data Zones;LSOADZ;25;58;40;76;27;36;37;97;142;99;63;52;140;63;18;33;28;13;9;30;17
19861;E01000611;Brent 016D;Lower Super Output Areas and Data Zones;LSOADZ;12;41;29;30;11;32;42;47;123;74;38;37;109;91;5;29;23;9;8;22;21
19862;E01000612;Brent 019B;Lower Super Output Areas and Data Zones;LSOADZ;22;55;45;58;25;61;35;51;118;112;47;49;140;76;3;28;20;13;7;16;8
19863;E01000613;Brent 013E;Lower Super Output Areas and Data Zones;LSOADZ;27;74;52;87;19;34;41;68;111;77;38;31;98;47;18;33;22;9;13;28;13
19864;E01000615;Brent 017B;Lower Super Output Areas and Data Zones;LSOADZ;22;44;31;49;34;37;53;86;82;55;39;34;53;40;13;63;57;22;20;56;33
19865;E01000616;Brent 020A;Lower Super Output Areas and Data Zones;LSOADZ;25;60;41;105;30;64;77;72;97;73;26;50;136;69;12;39;27;8;12;25;27
19866;E01000617;Brent 017C;Lower Super Output Areas and Data Zones;LSOADZ;11;52;34;61;25;71;61;67;101;83;60;43;120;76;12;43;37;20;7;40;32
19867;E01000618;Brent 017D;Lower Super Output Areas and Data Zones;LSOADZ;12;35;43;67;27;54;76;51;80;74;41;28;97;70;22;45;32;15;12;49;36
19868;E01000619;Brent 017E;Lower Super Output Areas and Data Zones;LSOADZ;7;25;19;57;14;46;51;47;76;73;54;30;102;100;25;74;56;28;28;52;49
19869;E01000620;Brent 020B;Lower Super Output Areas and Data Zones;LSOADZ;17;40;24;44;19;40;46;63;97;95;62;38;136;99;15;45;32;13;28;44;30
19870;E01000621;Brent 020C;Lower Super Output Areas and Data Zones;LSOADZ;14;43;22;71;15;49;67;39;69;69;70;33;123;91;16;72;41;26;16;61;38
19871;E01000622;Brent 010D;Lower Super Output Areas and Data Zones;LSOADZ;36;87;59;195;65;83;86;14;29;25;16;16;35;22;15;43;27;14;16;30;25
19872;E01000623;Brent 005C;Lower Super Output Areas and Data Zones;LSOADZ;42;98;66;125;38;64;48;66;101;82;67;37;84;42;5;35;13;8;9;15;12
19873;E01000624;Brent 005D;Lower Super Output Areas and Data Zones;LSOADZ;36;92;101;120;47;75;65;40;78;61;69;25;58;40;13;30;27;12;8;19;16
19874;E01000625;Brent 009E;Lower Super Output Areas and Data Zones;LSOADZ;50;107;63;119;36;53;55;39;51;36;41;14;47;29;13;30;25;9;5;17;15
19875;E01000626;Brent 010E;Lower Super Output Areas and Data Zones;LSOADZ;23;38;43;82;27;56;70;4;17;21;12;15;35;26;12;70;55;15;21;58;40
19876;E01000627;Brent 014E;Lower Super Output Areas and Data Zones;LSOADZ;27;69;56;117;48;75;80;21;35;41;48;27;63;50;20;44;41;23;23;55;35
19877;E01000628;Brent 014F;Lower Super Output Areas and Data Zones;LSOADZ;29;74;43;136;49;56;63;31;61;54;56;18;75;52;22;45;29;20;16;40;21
19878;E01000629;Brent 005E;Lower Super Output Areas and Data Zones;LSOADZ;27;77;57;161;46;80;83;67;84;111;72;42;85;81;10;28;16;15;10;20;15
19879;E01000630;Brent 026E;Lower Super Output Areas and Data Zones;LSOADZ;14;34;39;53;21;35;55;57;120;104;73;45;184;121;13;59;42;12;27;54;44
19880;E01000631;Brent 019C;Lower Super Output Areas and Data Zones;LSOADZ;14;42;35;44;13;38;33;87;162;108;94;61;210;105;7;22;19;7;7;18;15
19881;E01000632;Brent 029E;Lower Super Output Areas and Data Zones;LSOADZ;13;24;13;33;7;18;17;82;143;157;125;67;272;183;1;19;11;2;5;18;17
19882;E01000633;Brent 019D;Lower Super Output Areas and Data Zones;LSOADZ;12;22;11;21;8;39;27;88;152;103;90;89;268;162;7;13;16;6;9;14;14
19883;E01000634;Brent 019E;Lower Super Output Areas and Data Zones;LSOADZ;13;43;25;34;24;46;38;70;118;87;72;81;220;158;16;65;46;15;18;56;28
19884;E01000635;Brent 020D;Lower Super Output Areas and Data Zones;LSOADZ;22;55;37;70;27;53;54;74;140;87;65;53;201;133;16;47;34;15;18;46;38
19885;E01000636;Brent 020E;Lower Super Output Areas and Data Zones;LSOADZ;4;33;34;67;14;36;50;64;116;93;58;46;156;135;7;26;19;17;21;40;34
19886;E01000637;Brent 022B;Lower Super Output Areas and Data Zones;LSOADZ;74;190;66;94;49;76;102;28;32;29;22;24;30;28;12;37;22;15;17;22;32
19887;E01000638;Brent 024A;Lower Super Output Areas and Data Zones;LSOADZ;49;126;57;149;48;82;119;11;38;36;34;20;58;71;5;28;24;18;11;36;36
19888;E01000639;Brent 022C;Lower Super Output Areas and Data Zones;LSOADZ;107;244;107;123;67;97;92;30;42;22;20;21;25;22;16;26;24;11;11;21;13
19889;E01000640;Brent 024B;Lower Super Output Areas and Data Zones;LSOADZ;47;130;64;139;53;86;104;21;46;20;50;30;97;67;11;33;18;14;15;42;30
19890;E01000641;Brent 024C;Lower Super Output Areas and Data Zones;LSOADZ;58;139;71;132;63;77;77;12;41;29;33;20;57;48;8;51;37;14;15;50;30
19891;E01000642;Brent 022D;Lower Super Output Areas and Data Zones;LSOADZ;131;301;114;126;90;80;96;39;40;28;30;19;28;41;9;42;24;6;8;30;30
19892;E01000643;Brent 024D;Lower Super Output Areas and Data Zones;LSOADZ;48;125;57;81;50;78;94;26;42;32;23;19;53;24;22;78;65;26;17;61;53
19893;E01000644;Brent 022E;Lower Super Output Areas and Data Zones;LSOADZ;97;218;76;103;50;79;90;22;49;33;29;24;66;54;3;37;33;14;13;33;22
51780;E01033424;Brent 017F;Lower Super Output Areas and Data Zones;LSOADZ;45;87;26;35;19;30;39;107;90;44;17;15;36;26;13;34;24;15;25;32;15
51811;E01033455;Brent 031G;Lower Super Output Areas and Data Zones;LSOADZ;27;60;30;84;31;59;63;4;19;8;10;16;24;28;6;30;35;6;11;39;31
51812;E01033456;Brent 027F;Lower Super Output Areas and Data Zones;LSOADZ;7;27;23;24;25;49;58;10;20;17;19;15;35;26;28;115;89;48;57;142;109
51813;E01033457;Brent 017G;Lower Super Output Areas and Data Zones;LSOADZ;51;70;46;91;39;33;44;117;146;70;61;28;82;48;11;27;11;8;8;10;11
51819;E01033463;Brent 003G;Lower Super Output Areas and Data Zones;LSOADZ;60;132;98;169;33;83;58;192;226;182;158;68;144;94;13;24;11;11;8;32;15
51820;E01033464;Brent 010F;Lower Super Output Areas and Data Zones;LSOADZ;17;78;57;131;41;81;106;60;144;107;128;54;136;146;21;48;45;23;19;44;41
51841;E01033485;Brent 031H;Lower Super Output Areas and Data Zones;LSOADZ;36;101;48;105;41;53;92;17;41;21;23;15;42;37;25;65;59;17;28;69;53
