Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011244,Goodmayes,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05011244,Goodmayes,18,Other ethnic group: Arab,2,L3: Higher professional occupations,6
E05011244,Goodmayes,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E05011244,Goodmayes,18,Other ethnic group: Arab,4,L7: Intermediate occupations,9
E05011244,Goodmayes,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,2
E05011244,Goodmayes,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,4
E05011244,Goodmayes,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,8
E05011244,Goodmayes,18,Other ethnic group: Arab,8,L13: Routine occupations,9
E05011244,Goodmayes,18,Other ethnic group: Arab,9,L14.1: Never worked,15
E05011244,Goodmayes,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,0
E05011244,Goodmayes,18,Other ethnic group: Arab,11,L15: Full-time students,22
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,-8,Does not apply,187
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,9
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,39
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",79
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,51
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,115
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,20
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,61
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,81
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,122
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,7
E05011244,Goodmayes,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,81
E05011245,Hainault,-8,Does not apply,-8,Does not apply,0
E05011245,Hainault,-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05011245,Hainault,-8,Does not apply,2,L3: Higher professional occupations,0
E05011245,Hainault,-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05011245,Hainault,-8,Does not apply,4,L7: Intermediate occupations,0
E05011245,Hainault,-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05011245,Hainault,-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05011245,Hainault,-8,Does not apply,7,L12: Semi-routine occupations,0
E05011245,Hainault,-8,Does not apply,8,L13: Routine occupations,0
E05011245,Hainault,-8,Does not apply,9,L14.1: Never worked,0
E05011245,Hainault,-8,Does not apply,10,L14.2: Long-term unemployed,0
E05011245,Hainault,-8,Does not apply,11,L15: Full-time students,0
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,208
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,22
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,44
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",78
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,56
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,41
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,22
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,47
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,38
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,52
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,12
E05011245,Hainault,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,89
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,27
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",1,L1 and L2: Large employers and higher managerial and administrative occupations,9
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",2,L3: Higher professional occupations,24
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",4,L7: Intermediate occupations,8
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",5,L8 and L9: Small employers and own account workers,11
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",6,L10 and L11: Lower supervisory and technical occupations,19
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",7,L12: Semi-routine occupations,15
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",8,L13: Routine occupations,26
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",9,L14.1: Never worked,18
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",10,L14.2: Long-term unemployed,2
E05011245,Hainault,2,"Asian, Asian British or Asian Welsh: Chinese",11,L15: Full-time students,23
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,255
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",1,L1 and L2: Large employers and higher managerial and administrative occupations,58
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",2,L3: Higher professional occupations,159
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",194
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",4,L7: Intermediate occupations,92
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",5,L8 and L9: Small employers and own account workers,88
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",6,L10 and L11: Lower supervisory and technical occupations,19
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",7,L12: Semi-routine occupations,72
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",8,L13: Routine occupations,45
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",9,L14.1: Never worked,61
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",10,L14.2: Long-term unemployed,14
E05011245,Hainault,3,"Asian, Asian British or Asian Welsh: Indian",11,L15: Full-time students,50
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,362
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",1,L1 and L2: Large employers and higher managerial and administrative occupations,48
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",2,L3: Higher professional occupations,97
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",110
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,67
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,81
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,13
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,55
E05011245,Hainault,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,26
