original_11;recoded_11
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteblcarribean_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteblcarribean_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblcarribean_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;mixed_whiteblcarribean_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblcarribean_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblcarribean_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black Caribbean - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblcarribean_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteblafrican_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteblafrican_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblafrican_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;mixed_whiteblafrican_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblafrican_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblafrican_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Black African - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteblafrican_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteasian_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_whiteasian_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteasian_sc3
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 4. Small employers and own account workers - Sex : Total\ Sex - Unit : Persons;mixed_whiteasian_sc4
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 5. Lower supervisory and technical occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteasian_sc5
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 6. Semi-routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteasian_sc6
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ White and Asian - NS-SeC (National Statistics Socio-economic Classification) : 7. Routine occupations - Sex : Total\ Sex - Unit : Persons;mixed_whiteasian_sc7
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 1. Higher managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_other_sc1
"Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 2. Lower managerial; administrative and professional occupations - Sex : Total\ Sex - Unit : Persons";mixed_other_sc2
Age : Age 16 and over - Ethnic group [E][S][W] : Mixed/multiple ethnic group\ Other Mixed - NS-SeC (National Statistics Socio-economic Classification) : 3. Intermediate occupations - Sex : Total\ Sex - Unit : Persons;mixed_other_sc3
