Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013923,Royal Victoria,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,3
E05013923,Royal Victoria,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E05013923,Royal Victoria,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,2
E05013923,Royal Victoria,16,White: Roma,-8,Does not apply,4
E05013923,Royal Victoria,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05013923,Royal Victoria,16,White: Roma,2,L3: Higher professional occupations,11
E05013923,Royal Victoria,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",21
E05013923,Royal Victoria,16,White: Roma,4,L7: Intermediate occupations,5
E05013923,Royal Victoria,16,White: Roma,5,L8 and L9: Small employers and own account workers,8
E05013923,Royal Victoria,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,16
E05013923,Royal Victoria,16,White: Roma,7,L12: Semi-routine occupations,5
E05013923,Royal Victoria,16,White: Roma,8,L13: Routine occupations,9
E05013923,Royal Victoria,16,White: Roma,9,L14.1: Never worked,0
E05013923,Royal Victoria,16,White: Roma,10,L14.2: Long-term unemployed,3
E05013923,Royal Victoria,16,White: Roma,11,L15: Full-time students,8
E05013923,Royal Victoria,17,White: Other White,-8,Does not apply,263
E05013923,Royal Victoria,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,207
E05013923,Royal Victoria,17,White: Other White,2,L3: Higher professional occupations,694
E05013923,Royal Victoria,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",749
E05013923,Royal Victoria,17,White: Other White,4,L7: Intermediate occupations,228
E05013923,Royal Victoria,17,White: Other White,5,L8 and L9: Small employers and own account workers,338
E05013923,Royal Victoria,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,167
E05013923,Royal Victoria,17,White: Other White,7,L12: Semi-routine occupations,167
E05013923,Royal Victoria,17,White: Other White,8,L13: Routine occupations,153
E05013923,Royal Victoria,17,White: Other White,9,L14.1: Never worked,60
E05013923,Royal Victoria,17,White: Other White,10,L14.2: Long-term unemployed,31
E05013923,Royal Victoria,17,White: Other White,11,L15: Full-time students,230
E05013923,Royal Victoria,18,Other ethnic group: Arab,-8,Does not apply,41
E05013923,Royal Victoria,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05013923,Royal Victoria,18,Other ethnic group: Arab,2,L3: Higher professional occupations,41
E05013923,Royal Victoria,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",33
E05013923,Royal Victoria,18,Other ethnic group: Arab,4,L7: Intermediate occupations,4
E05013923,Royal Victoria,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,5
E05013923,Royal Victoria,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,2
E05013923,Royal Victoria,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,4
E05013923,Royal Victoria,18,Other ethnic group: Arab,8,L13: Routine occupations,7
E05013923,Royal Victoria,18,Other ethnic group: Arab,9,L14.1: Never worked,26
E05013923,Royal Victoria,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,1
E05013923,Royal Victoria,18,Other ethnic group: Arab,11,L15: Full-time students,41
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,-8,Does not apply,47
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,17
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,76
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",69
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,23
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,38
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,17
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,30
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,44
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,23
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,6
E05013923,Royal Victoria,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,37
E05013924,Stratford,-8,Does not apply,-8,Does not apply,0
E05013924,Stratford,-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013924,Stratford,-8,Does not apply,2,L3: Higher professional occupations,0
E05013924,Stratford,-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013924,Stratford,-8,Does not apply,4,L7: Intermediate occupations,0
E05013924,Stratford,-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05013924,Stratford,-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05013924,Stratford,-8,Does not apply,7,L12: Semi-routine occupations,0
E05013924,Stratford,-8,Does not apply,8,L13: Routine occupations,0
E05013924,Stratford,-8,Does not apply,9,L14.1: Never worked,0
E05013924,Stratford,-8,Does not apply,10,L14.2: Long-term unemployed,0
E05013924,Stratford,-8,Does not apply,11,L15: Full-time students,0
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,405
E05013924,Stratford,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,10
