CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F89716,F89717,F89718,F89719,F89720,F89721,F89722,F89723,F89724,F89725,F89726,F89727,F89728,F89729,F89730,F89767,F89768,F89769,F89770,F89771,F89772,F89773,F89774,F89775,F89776,F89777,F89778,F89779,F89780,F89781,F89784,F89785,F89786,F89787,F89788,F89789,F89790,F89791,F89792,F89793,F89794,F89795,F89796,F89797,F89798,F89801,F89802,F89803,F89804,F89805,F89806,F89807,F89808,F89809,F89810,F89811,F89812,F89813,F89814,F89815,F89818,F89819,F89820,F89821,F89822,F89823,F89824,F89825,F89826,F89827,F89828,F89829,F89830,F89831,F89832,F89835,F89836,F89837,F89838,F89839,F89840,F89841,F89842,F89843,F89844,F89845,F89846,F89847,F89848,F89849,F89852,F89853,F89854,F89855,F89856,F89857,F89858,F89859,F89860,F89861,F89862,F89863,F89864,F89865,F89866,
19969,00AEGT,00AEGT : Kilburn,Standard Table (ST) wards,SWARD,652,62,167,6,6,10,8,44,13,3,9,41,72,7,11,1307,161,341,23,13,18,18,62,28,4,29,199,145,21,33,299,112,145,3,11,9,7,37,13,5,15,190,87,31,23,235,65,101,3,3,3,6,27,22,3,10,42,23,5,11,177,57,76,3,5,3,8,9,9,0,7,82,55,15,7,284,100,133,5,9,5,14,62,28,3,20,222,165,33,13,205,115,130,5,10,4,4,26,24,7,12,149,52,13,14,
19970,00AEGU,00AEGU : Mapesbury,Standard Table (ST) wards,SWARD,783,97,293,4,9,16,11,82,42,3,11,37,56,0,25,1447,209,529,10,10,13,31,97,53,3,40,107,76,15,27,392,94,250,3,7,5,10,58,21,0,18,80,40,9,7,296,128,120,7,4,6,7,30,28,3,15,29,13,3,7,144,70,107,5,0,6,4,28,16,0,9,35,24,5,0,226,94,144,10,3,3,7,52,48,3,32,62,51,8,3,128,134,138,3,6,0,7,28,18,3,16,61,20,3,3,
19971,00AEGW,00AEGW : Northwick Park,Standard Table (ST) wards,SWARD,308,56,61,3,3,10,5,457,61,6,92,65,34,3,16,619,163,132,10,12,8,11,508,80,4,96,119,48,4,18,249,68,38,7,0,6,3,322,38,0,49,88,15,8,9,209,100,64,3,4,4,7,273,28,3,25,22,12,0,20,119,27,25,0,0,5,4,74,5,0,27,27,7,3,0,182,36,36,3,0,7,3,206,32,0,54,61,13,11,15,102,28,31,3,0,3,0,96,13,3,19,46,17,7,3,
19972,00AEGX,00AEGX : Preston,Standard Table (ST) wards,SWARD,306,44,69,3,3,11,3,383,59,6,63,57,40,0,41,633,99,154,10,4,12,20,452,62,4,72,151,85,16,40,255,50,101,4,3,10,4,294,29,0,58,109,48,12,21,212,45,66,3,6,7,0,195,30,3,30,32,12,3,22,142,29,37,4,0,4,3,88,11,0,31,54,22,3,5,181,29,89,7,0,6,0,210,22,0,101,78,45,16,23,139,42,55,7,3,0,3,107,18,4,36,28,18,4,3,
19973,00AEGY,00AEGY : Queens Park,Standard Table (ST) wards,SWARD,866,56,147,3,6,10,11,71,11,6,12,39,49,8,7,1611,134,402,13,13,14,22,92,12,8,11,160,82,21,17,340,57,150,8,6,4,9,60,8,5,12,107,34,14,6,401,50,116,4,4,4,9,58,13,3,4,40,17,6,0,140,38,69,7,3,3,3,26,0,3,5,32,31,7,3,222,46,116,13,0,0,10,58,19,12,24,140,53,17,3,165,55,117,5,5,3,7,74,8,3,8,78,27,9,3,
19974,00AEGZ,00AEGZ : Queensbury,Standard Table (ST) wards,SWARD,142,42,44,0,0,10,3,370,37,7,65,29,35,3,26,439,103,71,5,3,12,12,551,47,6,90,69,78,20,24,264,44,48,3,0,5,4,440,30,3,62,68,34,9,11,190,76,38,0,0,3,8,326,35,0,39,19,19,0,22,143,51,32,3,0,4,3,148,11,0,35,20,18,0,4,204,67,50,3,3,6,10,389,45,3,75,63,51,9,16,120,56,48,4,0,7,0,328,19,0,32,29,28,3,5,
19975,00AEHA,00AEHA : Stonebridge,Standard Table (ST) wards,SWARD,102,30,31,6,3,6,0,52,9,3,19,63,99,10,6,350,85,107,20,7,13,4,88,21,3,35,400,299,43,8,178,42,62,12,10,5,7,74,20,0,24,289,168,47,7,125,53,42,10,0,6,3,55,22,3,16,84,57,3,4,160,56,60,10,3,0,7,55,12,3,22,149,121,21,9,277,91,104,19,14,5,15,120,28,6,49,342,233,45,9,249,84,91,14,15,15,14,94,20,3,26,236,126,34,7,
19976,00AEHB,00AEHB : Sudbury,Standard Table (ST) wards,SWARD,205,28,58,3,3,4,7,293,49,5,60,55,57,8,11,551,106,110,8,9,17,21,393,85,7,124,170,80,17,24,250,53,66,5,7,10,11,288,55,3,73,120,48,13,12,132,62,48,0,3,0,3,173,24,0,46,22,8,3,8,124,28,49,6,0,3,3,110,15,0,45,54,31,8,6,183,61,54,6,3,3,3,274,43,3,161,95,56,14,10,130,33,41,6,3,6,4,176,19,7,85,62,29,6,6,
19977,00AEHC,00AEHC : Tokyngton,Standard Table (ST) wards,SWARD,149,35,63,7,3,6,6,242,29,3,36,78,37,4,11,367,85,118,10,4,9,15,333,56,5,40,275,97,17,11,159,51,53,11,3,8,6,244,27,3,31,186,47,21,5,111,73,39,5,0,4,3,190,48,5,20,71,16,7,7,73,34,48,6,4,3,0,124,17,0,30,107,29,6,3,146,68,58,6,4,0,5,316,56,4,83,189,62,15,6,94,38,49,4,3,3,3,252,20,0,49,154,29,9,0,
19978,00AEHD,00AEHD : Welsh Harp,Standard Table (ST) wards,SWARD,233,60,64,3,0,6,0,130,18,4,55,55,69,6,13,547,167,123,12,8,11,8,210,38,3,58,193,105,19,15,293,86,78,3,11,8,5,172,12,0,40,107,55,10,7,193,91,69,0,3,4,3,153,20,0,30,41,34,3,5,195,50,52,6,4,4,3,108,9,0,41,66,36,9,0,268,103,82,4,5,4,0,200,37,3,56,116,85,10,10,159,96,66,0,5,0,3,155,8,0,11,87,30,4,5,
19979,00AEHE,00AEHE : Wembley Central,Standard Table (ST) wards,SWARD,80,12,25,0,0,3,6,223,37,0,38,41,39,6,3,240,36,65,8,6,12,8,427,55,11,87,162,44,11,7,112,27,49,6,0,8,5,331,34,4,48,104,51,15,0,73,33,35,3,0,0,0,187,35,6,34,37,11,3,0,64,13,22,0,0,3,3,166,16,4,69,70,21,0,0,104,31,33,7,0,4,4,523,49,3,129,124,48,8,5,80,22,39,4,4,5,6,367,21,3,65,88,28,3,0,
19980,00AEHF,00AEHF : Willesden Green,Standard Table (ST) wards,SWARD,428,59,186,0,0,3,11,84,21,0,17,34,41,0,24,1048,167,435,16,4,14,25,111,29,3,31,169,87,18,30,314,88,272,4,5,4,9,83,23,6,27,125,61,18,9,160,69,109,5,0,3,3,66,18,0,22,36,24,0,8,135,61,142,0,3,3,10,59,19,3,25,45,23,9,0,215,83,144,9,12,4,20,113,32,3,53,112,63,15,17,152,102,148,6,8,0,15,132,16,3,23,75,46,9,0,
