Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",4,L7: Intermediate occupations,16
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",5,L8 and L9: Small employers and own account workers,20
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",6,L10 and L11: Lower supervisory and technical occupations,2
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,16
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,5
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,17
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,0
E05011469,Kenley,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,24
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,50
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,7
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,36
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",44
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,18
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,17
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,5
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,24
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,9
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,12
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,1
E05011469,Kenley,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,19
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,97
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,18
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,52
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",97
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,24
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,35
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,13
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,33
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,21
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,8
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,4
E05011469,Kenley,6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,62
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,75
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,11
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,37
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",71
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,44
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,27
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,9
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,18
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,26
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,12
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,2
E05011469,Kenley,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,20
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,56
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,9
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",19
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,14
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,9
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,5
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,10
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,0
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,10
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,3
E05011469,Kenley,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,11
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,122
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,12
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",26
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,12
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,11
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,1
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,9
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,6
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,4
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,6
E05011469,Kenley,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,14
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,44
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,7
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",8
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,4
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,8
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,0
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,4
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,3
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,2
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,0
E05011469,Kenley,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,2
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,110
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,10
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,11
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",22
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,10
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,17
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,7
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,12
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,3
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,5
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,3
E05011469,Kenley,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,14
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,87
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,14
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",29
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,17
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,8
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,2
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,5
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,2
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,4
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,1
E05011469,Kenley,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,14
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,1123
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,417
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,718
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1441
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,794
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,675
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,216
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,401
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,307
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,183
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,36
E05011469,Kenley,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,228
E05011469,Kenley,14,White: Irish,-8,Does not apply,13
E05011469,Kenley,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,13
E05011469,Kenley,14,White: Irish,2,L3: Higher professional occupations,21
E05011469,Kenley,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",54
E05011469,Kenley,14,White: Irish,4,L7: Intermediate occupations,23
E05011469,Kenley,14,White: Irish,5,L8 and L9: Small employers and own account workers,25
E05011469,Kenley,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,7
E05011469,Kenley,14,White: Irish,7,L12: Semi-routine occupations,9
E05011469,Kenley,14,White: Irish,8,L13: Routine occupations,7
E05011469,Kenley,14,White: Irish,9,L14.1: Never worked,7
E05011469,Kenley,14,White: Irish,10,L14.2: Long-term unemployed,1
E05011469,Kenley,14,White: Irish,11,L15: Full-time students,5
E05011469,Kenley,15,White: Gypsy or Irish Traveller,-8,Does not apply,2
E05011469,Kenley,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05011469,Kenley,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E05011469,Kenley,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,1
E05011469,Kenley,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,1
