Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009317,Bethnal Green,4,"Asian, Asian British or Asian Welsh: Pakistani",7,L12: Semi-routine occupations,14
E05009317,Bethnal Green,4,"Asian, Asian British or Asian Welsh: Pakistani",8,L13: Routine occupations,7
E05009317,Bethnal Green,4,"Asian, Asian British or Asian Welsh: Pakistani",9,L14.1: Never worked,14
E05009317,Bethnal Green,4,"Asian, Asian British or Asian Welsh: Pakistani",10,L14.2: Long-term unemployed,3
E05009317,Bethnal Green,4,"Asian, Asian British or Asian Welsh: Pakistani",11,L15: Full-time students,81
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,45
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",1,L1 and L2: Large employers and higher managerial and administrative occupations,9
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",2,L3: Higher professional occupations,48
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",64
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",4,L7: Intermediate occupations,18
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",5,L8 and L9: Small employers and own account workers,21
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",6,L10 and L11: Lower supervisory and technical occupations,19
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",7,L12: Semi-routine occupations,18
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",8,L13: Routine occupations,18
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,24
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,1
E05009317,Bethnal Green,5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,130
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,435
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,15
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,69
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",120
E05009317,Bethnal Green,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,62
