Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,80
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,4
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",18
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,15
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,20
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L10 and L11: Lower supervisory and technical occupations,3
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L12: Semi-routine occupations,23
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L13: Routine occupations,9
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L14.1: Never worked,32
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,L14.2: Long-term unemployed,2
E05009377,Hoxton East & Shoreditch,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11,L15: Full-time students,35
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,14
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",2,L3: Higher professional occupations,92
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",54
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",4,L7: Intermediate occupations,11
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",5,L8 and L9: Small employers and own account workers,25
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",6,L10 and L11: Lower supervisory and technical occupations,6
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",7,L12: Semi-routine occupations,12
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",8,L13: Routine occupations,12
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",9,L14.1: Never worked,16
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",10,L14.2: Long-term unemployed,6
E05009377,Hoxton East & Shoreditch,2,"Asian, Asian British or Asian Welsh: Chinese",11,L15: Full-time students,123
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,31
E05009377,Hoxton East & Shoreditch,3,"Asian, Asian British or Asian Welsh: Indian",1,L1 and L2: Large employers and higher managerial and administrative occupations,25
