CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F89716,F89717,F89718,F89719,F89720,F89721,F89722,F89723,F89724,F89725,F89726,F89727,F89728,F89729,F89730,F89767,F89768,F89769,F89770,F89771,F89772,F89773,F89774,F89775,F89776,F89777,F89778,F89779,F89780,F89781,F89784,F89785,F89786,F89787,F89788,F89789,F89790,F89791,F89792,F89793,F89794,F89795,F89796,F89797,F89798,F89801,F89802,F89803,F89804,F89805,F89806,F89807,F89808,F89809,F89810,F89811,F89812,F89813,F89814,F89815,F89818,F89819,F89820,F89821,F89822,F89823,F89824,F89825,F89826,F89827,F89828,F89829,F89830,F89831,F89832,F89835,F89836,F89837,F89838,F89839,F89840,F89841,F89842,F89843,F89844,F89845,F89846,F89847,F89848,F89849,F89852,F89853,F89854,F89855,F89856,F89857,F89858,F89859,F89860,F89861,F89862,F89863,F89864,F89865,F89866,
20054,00AJGM,00AJGM : Hanger Hill,Standard Table (ST) wards,SWARD,1145,98,355,0,3,24,17,169,37,4,65,25,23,6,47,1668,141,454,3,10,18,15,176,29,5,58,51,31,7,62,454,45,193,5,5,8,8,77,21,4,31,28,20,4,25,322,29,142,0,5,15,6,64,17,5,21,12,6,0,22,160,14,61,3,4,0,5,25,6,0,6,8,5,0,6,246,23,101,5,3,6,5,52,14,3,20,9,8,0,27,107,25,71,3,3,3,3,34,3,3,5,16,9,3,15,
20055,00AJGN,00AJGN : Hobbayne,Standard Table (ST) wards,SWARD,610,75,111,0,0,6,11,83,24,6,23,50,27,0,9,1460,162,237,15,10,24,13,115,16,3,33,122,56,7,28,500,66,100,5,4,8,8,52,12,0,16,79,21,9,10,335,81,70,3,3,4,4,37,11,3,20,17,6,3,4,300,58,35,0,3,0,3,27,3,0,18,31,11,3,3,444,86,55,7,9,5,9,50,20,3,31,62,27,5,8,336,86,58,3,0,0,4,27,6,0,14,40,11,0,0,
20056,00AJGP,00AJGP : Lady Margaret,Standard Table (ST) wards,SWARD,97,14,9,3,0,0,0,323,38,0,38,27,13,0,4,279,36,46,8,0,14,5,621,68,3,81,132,44,10,3,183,17,35,0,0,5,6,562,47,0,53,73,16,7,3,84,25,13,0,0,0,3,258,40,0,25,22,9,3,5,110,15,12,4,0,4,0,332,34,3,57,38,13,4,0,177,45,32,4,0,5,0,700,61,3,118,69,23,5,3,142,32,24,3,0,3,0,490,39,0,63,50,14,4,3,
20057,00AJGQ,00AJGQ : Northfield,Standard Table (ST) wards,SWARD,1363,121,231,3,3,17,18,95,12,3,29,21,11,0,25,2081,180,420,15,4,19,17,96,16,4,41,61,25,5,38,603,70,173,4,3,0,7,50,8,0,22,27,13,3,21,299,52,75,4,0,6,3,22,6,0,13,10,0,0,21,202,28,43,3,0,0,3,14,3,3,6,11,3,0,0,285,54,58,4,0,6,6,30,3,4,10,24,6,0,15,147,48,66,6,0,3,3,13,3,3,7,18,3,3,0,
20058,00AJGR,00AJGR : North Greenford,Standard Table (ST) wards,SWARD,308,48,38,0,0,5,7,234,38,7,50,38,28,3,28,862,121,126,16,5,23,10,384,83,3,84,151,49,11,42,511,57,65,5,3,11,7,265,30,4,59,97,25,6,23,235,64,58,3,0,3,3,121,21,4,35,24,10,0,14,292,39,44,9,0,5,6,126,12,3,41,44,14,0,3,371,43,46,3,3,7,6,255,46,0,94,54,22,0,28,289,52,45,5,3,0,4,79,15,3,34,52,4,4,5,
20059,00AJGS,00AJGS : Northolt Mandeville,Standard Table (ST) wards,SWARD,322,38,34,0,3,8,0,92,11,33,29,21,38,0,6,927,98,130,7,3,18,12,149,29,7,62,113,65,11,17,678,43,50,13,4,12,7,121,21,3,51,67,35,11,10,324,47,36,3,3,0,4,42,18,3,10,19,10,3,11,433,36,45,3,0,3,6,49,13,4,22,48,17,7,8,580,55,73,8,0,12,6,88,13,5,47,59,38,8,15,488,64,45,6,3,8,3,48,13,3,12,41,22,3,6,
20060,00AJGT,00AJGT : Northolt West End,Standard Table (ST) wards,SWARD,226,21,33,4,3,3,6,73,17,0,21,38,57,7,5,834,60,88,23,5,17,12,122,33,3,46,117,89,14,17,674,43,45,6,4,14,4,100,27,3,20,102,37,5,10,309,34,33,4,0,4,4,31,15,0,12,22,14,0,11,486,33,33,6,4,3,6,54,21,0,11,44,14,6,3,643,51,47,15,0,14,7,107,24,6,28,99,37,7,4,609,50,32,6,0,5,4,56,17,3,15,47,20,3,11,
20061,00AJGU,00AJGU : Norwood Green,Standard Table (ST) wards,SWARD,199,19,37,0,0,6,0,298,20,3,26,17,30,0,7,493,74,65,10,7,4,6,445,61,6,49,66,55,4,9,257,22,34,9,3,3,7,301,47,0,44,43,21,3,3,139,30,15,0,0,3,0,210,39,0,29,17,10,0,4,156,18,10,3,0,0,3,193,25,4,26,29,11,0,3,211,17,35,4,3,7,5,454,61,3,63,56,43,9,4,179,16,31,9,3,3,3,261,49,0,40,37,37,4,0,
20062,00AJGW,00AJGW : Perivale,Standard Table (ST) wards,SWARD,345,53,111,0,5,10,5,169,26,7,72,40,22,3,32,823,107,186,12,3,19,14,295,60,10,114,133,42,15,44,428,55,121,6,3,4,8,216,31,10,68,81,13,9,24,250,74,125,5,3,5,4,114,37,0,51,24,4,0,14,242,48,63,9,0,5,3,82,13,3,49,42,9,4,12,357,56,89,6,4,10,11,224,42,3,105,70,28,5,15,264,63,104,5,0,3,8,139,18,0,53,45,5,4,24,
20063,00AJGX,00AJGX : South Acton,Standard Table (ST) wards,SWARD,921,55,242,4,3,9,22,78,12,4,15,28,33,0,24,1313,134,453,13,12,8,22,84,16,3,35,96,95,6,30,449,37,188,8,3,7,4,39,16,3,20,62,38,7,11,231,60,123,4,3,4,5,33,11,4,11,8,15,3,4,188,41,77,5,0,3,6,27,7,0,16,29,26,4,4,280,30,142,8,6,4,4,54,14,0,35,83,83,9,12,224,48,93,4,7,6,8,25,3,3,20,38,50,8,3,
20064,00AJGY,00AJGY : Southall Broadway,Standard Table (ST) wards,SWARD,62,6,18,3,6,0,0,328,48,0,34,4,11,0,0,140,20,37,3,5,5,3,625,92,3,92,46,22,8,0,68,3,23,3,3,5,7,471,72,4,59,34,19,0,0,34,7,8,0,0,0,0,205,70,0,40,4,6,0,3,59,3,8,3,0,6,0,358,56,3,84,22,13,5,0,95,7,20,3,0,10,4,783,104,10,191,36,26,0,3,72,8,16,3,0,6,3,708,74,5,130,34,16,3,0,
20065,00AJGZ,00AJGZ : Southall Green,Standard Table (ST) wards,SWARD,112,8,20,0,3,0,0,263,44,0,36,14,7,3,4,232,25,35,0,0,3,3,546,65,3,73,64,29,6,4,81,12,21,3,0,5,3,530,53,4,45,48,23,0,6,60,7,11,0,0,3,0,212,48,0,49,13,8,0,0,75,4,19,0,0,4,3,452,43,0,33,30,11,0,0,119,14,27,6,3,7,5,928,98,7,95,42,25,0,3,102,14,21,3,3,9,3,640,52,5,70,36,23,3,0,
20066,00AJHA,00AJHA : Southfield,Standard Table (ST) wards,SWARD,1749,112,366,3,10,12,19,56,10,3,11,24,19,0,22,2137,126,475,13,11,12,16,63,15,3,14,50,33,4,40,489,37,157,4,3,6,6,21,6,3,9,36,8,3,6,419,43,100,5,0,3,3,20,7,0,10,8,5,0,8,150,16,51,3,0,3,0,14,7,0,0,29,6,0,4,249,46,68,5,3,6,8,27,10,0,7,40,15,4,0,186,30,67,3,0,6,0,13,3,0,4,19,7,4,0,
20067,00AJHB,00AJHB : Walpole,Standard Table (ST) wards,SWARD,1576,125,242,0,7,12,7,107,17,3,28,26,14,3,22,2014,195,376,8,3,17,14,106,19,5,35,69,27,5,29,507,49,183,8,3,6,11,61,10,0,12,34,11,5,7,323,37,62,3,0,4,5,32,13,3,6,8,9,0,18,175,29,42,0,3,3,3,25,7,3,5,22,5,0,0,242,49,81,5,3,4,0,53,20,0,16,26,20,7,8,152,29,49,3,3,4,3,29,11,5,13,31,5,3,3,
