Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,8
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,9
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,19
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,8
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,6
E05013888,Grove Green,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,17
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,734
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,272
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,577
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1177
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,270
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,450
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,140
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,197
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,192
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,116
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,40
E05013888,Grove Green,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,107
E05013888,Grove Green,14,White: Irish,-8,Does not apply,27
E05013888,Grove Green,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,18
E05013888,Grove Green,14,White: Irish,2,L3: Higher professional occupations,45
E05013888,Grove Green,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",75
E05013888,Grove Green,14,White: Irish,4,L7: Intermediate occupations,17
E05013888,Grove Green,14,White: Irish,5,L8 and L9: Small employers and own account workers,25
E05013888,Grove Green,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,12
E05013888,Grove Green,14,White: Irish,7,L12: Semi-routine occupations,12
