Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,L7: Intermediate occupations,8
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L8 and L9: Small employers and own account workers,4
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L10 and L11: Lower supervisory and technical occupations,3
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L12: Semi-routine occupations,12
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L13: Routine occupations,6
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L14.1 and L14.2: Never worked and long-term unemployed,13
E05013792,Abbey Road,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L15: Full-time students,2
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,7
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",8
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,L7: Intermediate occupations,3
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L8 and L9: Small employers and own account workers,1
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L10 and L11: Lower supervisory and technical occupations,1
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L12: Semi-routine occupations,4
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L13: Routine occupations,5
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L14.1 and L14.2: Never worked and long-term unemployed,3
E05013792,Abbey Road,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L15: Full-time students,3
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,145
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",43
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",33
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,3,L7: Intermediate occupations,7
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,4,L8 and L9: Small employers and own account workers,8
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,5,L10 and L11: Lower supervisory and technical occupations,1
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,6,L12: Semi-routine occupations,5
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,7,L13: Routine occupations,5
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,8,L14.1 and L14.2: Never worked and long-term unemployed,11
E05013792,Abbey Road,9,Mixed or Multiple ethnic groups: White and Asian,9,L15: Full-time students,30
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,21
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",17
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",6
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,3,L7: Intermediate occupations,4
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,4,L8 and L9: Small employers and own account workers,2
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,5,L10 and L11: Lower supervisory and technical occupations,0
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,6,L12: Semi-routine occupations,4
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,7,L13: Routine occupations,9
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,8,L14.1 and L14.2: Never worked and long-term unemployed,9
E05013792,Abbey Road,10,Mixed or Multiple ethnic groups: White and Black African,9,L15: Full-time students,8
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,10
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",7
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,L7: Intermediate occupations,9
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L8 and L9: Small employers and own account workers,1
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L10 and L11: Lower supervisory and technical occupations,3
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L12: Semi-routine occupations,4
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L13: Routine occupations,6
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L14.1 and L14.2: Never worked and long-term unemployed,12
E05013792,Abbey Road,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L15: Full-time students,5
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,109
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",74
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",74
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,12
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,15
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,10
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L13: Routine occupations,10
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,15
E05013792,Abbey Road,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L15: Full-time students,53
E05013792,Abbey Road,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,474
