Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,2
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",8
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,7
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,8
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,6
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,4
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,5
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,5
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,0
E09000001,City of London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,3
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,5
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,1
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,0
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,0
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,1
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,0
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,1
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,2
E09000001,City of London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,9
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,56
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,7
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,44
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",28
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,5
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,9
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,7,L12: Semi-routine occupations,0
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,8,L13: Routine occupations,0
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,9,L14.1: Never worked,5
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,10,L14.2: Long-term unemployed,1
E09000001,City of London,9,Mixed or Multiple ethnic groups: White and Asian,11,L15: Full-time students,22
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,8
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,3
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,8
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,3
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,1
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,4
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,2
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,3
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,3
E09000001,City of London,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,3
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,14
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,10
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,3
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,2
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,3
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,5
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,3
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,3
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,0
E09000001,City of London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,6
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,34
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,13
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,32
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",34
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,11
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,22
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,3
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,11
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,0
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,L14.2: Long-term unemployed,2
E09000001,City of London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11,L15: Full-time students,26
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,216
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",1,L1 and L2: Large employers and higher managerial and administrative occupations,397
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",2,L3: Higher professional occupations,978
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1016
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L7: Intermediate occupations,219
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L8 and L9: Small employers and own account workers,288
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L10 and L11: Lower supervisory and technical occupations,50
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,110
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,93
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,106
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,38
E09000001,City of London,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,140
E09000001,City of London,14,White: Irish,-8,Does not apply,4
E09000001,City of London,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,27
E09000001,City of London,14,White: Irish,2,L3: Higher professional occupations,74
E09000001,City of London,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",35
E09000001,City of London,14,White: Irish,4,L7: Intermediate occupations,5
E09000001,City of London,14,White: Irish,5,L8 and L9: Small employers and own account workers,8
E09000001,City of London,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,14,White: Irish,7,L12: Semi-routine occupations,11
E09000001,City of London,14,White: Irish,8,L13: Routine occupations,4
E09000001,City of London,14,White: Irish,9,L14.1: Never worked,5
E09000001,City of London,14,White: Irish,10,L14.2: Long-term unemployed,4
E09000001,City of London,14,White: Irish,11,L15: Full-time students,8
E09000001,City of London,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E09000001,City of London,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E09000001,City of London,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,0
E09000001,City of London,16,White: Roma,-8,Does not apply,6
E09000001,City of London,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E09000001,City of London,16,White: Roma,2,L3: Higher professional occupations,7
E09000001,City of London,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",11
E09000001,City of London,16,White: Roma,4,L7: Intermediate occupations,2
E09000001,City of London,16,White: Roma,5,L8 and L9: Small employers and own account workers,2
E09000001,City of London,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,16,White: Roma,7,L12: Semi-routine occupations,2
E09000001,City of London,16,White: Roma,8,L13: Routine occupations,4
E09000001,City of London,16,White: Roma,9,L14.1: Never worked,9
E09000001,City of London,16,White: Roma,10,L14.2: Long-term unemployed,3
E09000001,City of London,16,White: Roma,11,L15: Full-time students,7
E09000001,City of London,17,White: Other White,-8,Does not apply,81
E09000001,City of London,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,208
E09000001,City of London,17,White: Other White,2,L3: Higher professional occupations,681
E09000001,City of London,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",459
E09000001,City of London,17,White: Other White,4,L7: Intermediate occupations,84
E09000001,City of London,17,White: Other White,5,L8 and L9: Small employers and own account workers,134
E09000001,City of London,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,34
E09000001,City of London,17,White: Other White,7,L12: Semi-routine occupations,51
E09000001,City of London,17,White: Other White,8,L13: Routine occupations,49
E09000001,City of London,17,White: Other White,9,L14.1: Never worked,34
E09000001,City of London,17,White: Other White,10,L14.2: Long-term unemployed,23
E09000001,City of London,17,White: Other White,11,L15: Full-time students,224
E09000001,City of London,18,Other ethnic group: Arab,-8,Does not apply,18
E09000001,City of London,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,6
E09000001,City of London,18,Other ethnic group: Arab,2,L3: Higher professional occupations,30
E09000001,City of London,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E09000001,City of London,18,Other ethnic group: Arab,4,L7: Intermediate occupations,1
E09000001,City of London,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,5
E09000001,City of London,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,4
E09000001,City of London,18,Other ethnic group: Arab,8,L13: Routine occupations,3
E09000001,City of London,18,Other ethnic group: Arab,9,L14.1: Never worked,13
E09000001,City of London,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,2
E09000001,City of London,18,Other ethnic group: Arab,11,L15: Full-time students,17
E09000001,City of London,19,Other ethnic group: Any other ethnic group,-8,Does not apply,21
E09000001,City of London,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,21
E09000001,City of London,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,73
E09000001,City of London,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",50
E09000001,City of London,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,18
E09000001,City of London,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,19
E09000001,City of London,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,16
E09000001,City of London,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,22
E09000001,City of London,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,37
E09000001,City of London,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,34
E09000001,City of London,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,11
E09000001,City of London,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,46
