Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013810,Abbey (Merton),5,"Asian, Asian British or Asian Welsh: Other Asian",9,L14.1: Never worked,51
E05013810,Abbey (Merton),5,"Asian, Asian British or Asian Welsh: Other Asian",10,L14.2: Long-term unemployed,6
E05013810,Abbey (Merton),5,"Asian, Asian British or Asian Welsh: Other Asian",11,L15: Full-time students,37
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,86
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",1,L1 and L2: Large employers and higher managerial and administrative occupations,9
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",2,L3: Higher professional occupations,19
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",47
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",4,L7: Intermediate occupations,22
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",5,L8 and L9: Small employers and own account workers,16
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",6,L10 and L11: Lower supervisory and technical occupations,7
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",7,L12: Semi-routine occupations,36
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",8,L13: Routine occupations,41
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",9,L14.1: Never worked,21
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",10,L14.2: Long-term unemployed,5
E05013810,Abbey (Merton),6,"Black, Black British, Black Welsh, Caribbean or African: African",11,L15: Full-time students,48
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,28
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,L3: Higher professional occupations,17
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",32
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,L7: Intermediate occupations,27
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,L8 and L9: Small employers and own account workers,12
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,L10 and L11: Lower supervisory and technical occupations,4
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,L12: Semi-routine occupations,20
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,L13: Routine occupations,17
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,L14.1: Never worked,20
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,L14.2: Long-term unemployed,5
E05013810,Abbey (Merton),7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11,L15: Full-time students,14
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,31
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,L1 and L2: Large employers and higher managerial and administrative occupations,1
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,L3: Higher professional occupations,3
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",9
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,L7: Intermediate occupations,4
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,L8 and L9: Small employers and own account workers,4
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,L10 and L11: Lower supervisory and technical occupations,2
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,L12: Semi-routine occupations,6
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,L13: Routine occupations,5
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,L14.1: Never worked,5
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,L14.2: Long-term unemployed,1
E05013810,Abbey (Merton),8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11,L15: Full-time students,6
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,108
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,1,L1 and L2: Large employers and higher managerial and administrative occupations,8
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,2,L3: Higher professional occupations,26
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",33
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,4,L7: Intermediate occupations,5
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,5,L8 and L9: Small employers and own account workers,8
E05013810,Abbey (Merton),9,Mixed or Multiple ethnic groups: White and Asian,6,L10 and L11: Lower supervisory and technical occupations,3
