Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013672,Arnos Grove,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L12: Semi-routine occupations,156
E05013672,Arnos Grove,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L13: Routine occupations,101
E05013672,Arnos Grove,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L14.1: Never worked,99
E05013672,Arnos Grove,13,"White: English, Welsh, Scottish, Northern Irish or British",10,L14.2: Long-term unemployed,30
E05013672,Arnos Grove,13,"White: English, Welsh, Scottish, Northern Irish or British",11,L15: Full-time students,103
E05013672,Arnos Grove,14,White: Irish,-8,Does not apply,20
E05013672,Arnos Grove,14,White: Irish,1,L1 and L2: Large employers and higher managerial and administrative occupations,22
E05013672,Arnos Grove,14,White: Irish,2,L3: Higher professional occupations,31
E05013672,Arnos Grove,14,White: Irish,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",62
E05013672,Arnos Grove,14,White: Irish,4,L7: Intermediate occupations,34
E05013672,Arnos Grove,14,White: Irish,5,L8 and L9: Small employers and own account workers,46
E05013672,Arnos Grove,14,White: Irish,6,L10 and L11: Lower supervisory and technical occupations,6
E05013672,Arnos Grove,14,White: Irish,7,L12: Semi-routine occupations,16
E05013672,Arnos Grove,14,White: Irish,8,L13: Routine occupations,10
E05013672,Arnos Grove,14,White: Irish,9,L14.1: Never worked,12
E05013672,Arnos Grove,14,White: Irish,10,L14.2: Long-term unemployed,1
E05013672,Arnos Grove,14,White: Irish,11,L15: Full-time students,13
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,-8,Does not apply,2
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,2,L3: Higher professional occupations,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,4,L7: Intermediate occupations,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,5,L8 and L9: Small employers and own account workers,2
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,6,L10 and L11: Lower supervisory and technical occupations,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,7,L12: Semi-routine occupations,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,8,L13: Routine occupations,2
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,9,L14.1: Never worked,2
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,10,L14.2: Long-term unemployed,0
E05013672,Arnos Grove,15,White: Gypsy or Irish Traveller,11,L15: Full-time students,1
E05013672,Arnos Grove,16,White: Roma,-8,Does not apply,1
E05013672,Arnos Grove,16,White: Roma,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013672,Arnos Grove,16,White: Roma,2,L3: Higher professional occupations,1
E05013672,Arnos Grove,16,White: Roma,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1
E05013672,Arnos Grove,16,White: Roma,4,L7: Intermediate occupations,0
E05013672,Arnos Grove,16,White: Roma,5,L8 and L9: Small employers and own account workers,1
E05013672,Arnos Grove,16,White: Roma,6,L10 and L11: Lower supervisory and technical occupations,2
E05013672,Arnos Grove,16,White: Roma,7,L12: Semi-routine occupations,2
E05013672,Arnos Grove,16,White: Roma,8,L13: Routine occupations,1
E05013672,Arnos Grove,16,White: Roma,9,L14.1: Never worked,0
E05013672,Arnos Grove,16,White: Roma,10,L14.2: Long-term unemployed,0
E05013672,Arnos Grove,16,White: Roma,11,L15: Full-time students,2
E05013672,Arnos Grove,17,White: Other White,-8,Does not apply,262
E05013672,Arnos Grove,17,White: Other White,1,L1 and L2: Large employers and higher managerial and administrative occupations,58
E05013672,Arnos Grove,17,White: Other White,2,L3: Higher professional occupations,163
E05013672,Arnos Grove,17,White: Other White,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",308
E05013672,Arnos Grove,17,White: Other White,4,L7: Intermediate occupations,134
E05013672,Arnos Grove,17,White: Other White,5,L8 and L9: Small employers and own account workers,385
E05013672,Arnos Grove,17,White: Other White,6,L10 and L11: Lower supervisory and technical occupations,62
E05013672,Arnos Grove,17,White: Other White,7,L12: Semi-routine occupations,122
E05013672,Arnos Grove,17,White: Other White,8,L13: Routine occupations,154
E05013672,Arnos Grove,17,White: Other White,9,L14.1: Never worked,95
E05013672,Arnos Grove,17,White: Other White,10,L14.2: Long-term unemployed,20
E05013672,Arnos Grove,17,White: Other White,11,L15: Full-time students,117
E05013672,Arnos Grove,18,Other ethnic group: Arab,-8,Does not apply,23
E05013672,Arnos Grove,18,Other ethnic group: Arab,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013672,Arnos Grove,18,Other ethnic group: Arab,2,L3: Higher professional occupations,8
E05013672,Arnos Grove,18,Other ethnic group: Arab,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7
E05013672,Arnos Grove,18,Other ethnic group: Arab,4,L7: Intermediate occupations,2
E05013672,Arnos Grove,18,Other ethnic group: Arab,5,L8 and L9: Small employers and own account workers,5
E05013672,Arnos Grove,18,Other ethnic group: Arab,6,L10 and L11: Lower supervisory and technical occupations,4
E05013672,Arnos Grove,18,Other ethnic group: Arab,7,L12: Semi-routine occupations,2
E05013672,Arnos Grove,18,Other ethnic group: Arab,8,L13: Routine occupations,3
E05013672,Arnos Grove,18,Other ethnic group: Arab,9,L14.1: Never worked,9
E05013672,Arnos Grove,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,3
E05013672,Arnos Grove,18,Other ethnic group: Arab,11,L15: Full-time students,8
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,-8,Does not apply,141
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,35
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,72
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",110
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,65
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,100
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,23
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,47
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,33
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,58
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,4
E05013672,Arnos Grove,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,45
E05013673,Bowes,-8,Does not apply,-8,Does not apply,0
E05013673,Bowes,-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013673,Bowes,-8,Does not apply,2,L3: Higher professional occupations,0
E05013673,Bowes,-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013673,Bowes,-8,Does not apply,4,L7: Intermediate occupations,0
E05013673,Bowes,-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05013673,Bowes,-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05013673,Bowes,-8,Does not apply,7,L12: Semi-routine occupations,0
E05013673,Bowes,-8,Does not apply,8,L13: Routine occupations,0
E05013673,Bowes,-8,Does not apply,9,L14.1: Never worked,0
E05013673,Bowes,-8,Does not apply,10,L14.2: Long-term unemployed,0
E05013673,Bowes,-8,Does not apply,11,L15: Full-time students,0
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,77
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,L1 and L2: Large employers and higher managerial and administrative occupations,5
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,L3: Higher professional occupations,23
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",29
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L7: Intermediate occupations,20
E05013673,Bowes,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L8 and L9: Small employers and own account workers,19
